smiles,ligand_smiles,metal_symbol,atomic_number,period,group_number,block,pauling_electronegativity,d_electron_count_proxy,f_electron_count_proxy,s_electron_count_proxy,p_electron_count_proxy,encoded_metal_donor_count,encoded_O_donor_count,encoded_N_donor_count,encoded_S_donor_count,encoded_P_donor_count,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,logK
[Eu+3]<-CC(=O)CC(=O)c1ccccc1,CC(=O)CC(=O)c1ccccc1,Eu,63,6,3,f,1.2,0,6,0,0,0,0,0,0,0,-0.108240741,11.23425926,0,0.63021932,314.152,304.072,314.9876641,66,0,1.153846154,1.692307692,2.153846154,1.44E-06,293.0528723,8.974691495,7.288319181,9.713414261,5.698377303,3.776038674,3.776038674,2.667993537,2.667993537,1.505266954,1.505266954,0.952211743,0.952211743,0.144415584,515.8918353,13.14441558,6.57636911,4.794971482,118.2550293,0,5.783244946,5.783244946,0,0,49.37672248,9.589074368,0,0,0,30.33183534,6.9237372,5.563451492,6.420821623,58.96579685,11.56648989,0,0,0,13.34455882,0,35.89528683,0,0,0,0,0,0,11.56648989,4.794537184,49.37672248,23.7025475,30.33183534,0,0,0,34.14,0,9.589074368,0,67.364034,5.563451492,0,6.9237372,24.26546827,6.066367068,0,0,0,0,21.84091034,0,0.604351852,-0.201895314,8.835151644,0.003981481,1.4175,0,0.2,13,0,2,0,0,0,1,0,1,2,0,3,3,0,0,0,1,1.8484,46.0705,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.89
[Ce+3]<-OC(=O)COc1ccccc1OCC(O)=O,O=C(O)COc1ccccc1OCC(=O)O,Ce,58,6,3,f,1.12,0,1,0,0,0,0,0,0,0,-1.117557739,10.29009225,0,0.766599755,366.3,356.22,365.951531,87,1,0.941176471,1.294117647,1.588235294,2.56E-06,355.137442,11.96625533,8.751034992,11.89108994,7.592224153,4.375517496,4.375517496,2.811562409,2.811562409,1.551454138,1.551454138,0.967631351,0.967631351,-0.863376623,3378.942378,16.13662338,8.260184757,6.442036904,130.9125312,19.6867807,0,24.7127876,0,0,53.68590174,0,9.589074368,0,0,12.13273414,12.13273414,0,0,71.02314623,11.93861058,0,0,0,0,13.21376393,24.26546827,0,11.49902367,9.473725908,0,11.49902367,0,35.36542929,9.589074368,41.74729117,0,24.26546827,0,0,0,93.06,25.1523745,9.589074368,0,53.24631483,0,0,12.13273414,12.13273414,0,0,19.6867807,9.826768707,0,20.5801845,16.84776639,0,-1.834837701,6.259791194,0,-1.013006425,0,0.2,17,2,6,0,0,0,1,0,1,4,2,7,6,0,0,0,1,0.6134,52.7036,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16
[Eu+3]<-OC(=O)COc1ccccc1OCC(O)=O,O=C(O)COc1ccccc1OCC(=O)O,Eu,63,6,3,f,1.2,0,6,0,0,0,0,0,0,0,-1.117557739,10.29009225,0,0.753981797,378.148,368.068,378.9673226,90,0,0.941176471,1.294117647,1.588235294,2.56E-06,355.137442,11.96625533,8.628999465,11.05409454,7.592224153,4.375517496,4.375517496,2.811562409,2.811562409,1.551454138,1.551454138,0.967631351,0.967631351,-0.655584416,3378.942378,16.34441558,8.437326258,6.601749362,138.0705873,19.6867807,0,24.7127876,0,0,61.31533306,0,9.589074368,0,0,12.13273414,12.13273414,0,0,78.65257755,11.93861058,0,0,0,0,13.21376393,24.26546827,0,11.49902367,9.473725908,0,11.49902367,0,35.36542929,9.589074368,49.37672248,0,24.26546827,0,0,0,93.06,25.1523745,9.589074368,0,60.87574615,0,0,12.13273414,12.13273414,0,0,19.6867807,9.826768707,0,20.5801845,16.84776639,0,-1.834837701,6.259791194,0,-1.013006425,0,0.2,17,2,6,0,0,0,1,0,1,4,2,7,6,0,0,0,1,0.6134,52.7036,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6
[Tb+3]<-OC(=O)COc1ccccc1OCC(O)=O,O=C(O)COc1ccccc1OCC(=O)O,Tb,65,6,3,f,1.1,0,8,0,0,0,0,0,0,0,-1.117557739,10.29009225,0,0.745969428,385.109,375.029,384.9714391,92,0,0.941176471,1.294117647,1.588235294,2.56E-06,355.137442,11.96625533,8.584368325,10.72310115,7.592224153,4.375517496,4.375517496,2.811562409,2.811562409,1.551454138,1.551454138,0.967631351,0.967631351,-0.954285714,3378.942378,16.04571429,8.182875437,6.37243573,127.966509,19.6867807,0,24.7127876,0,0,50.55017056,0,9.589074368,0,0,12.13273414,12.13273414,0,0,67.88741505,11.93861058,0,0,0,0,13.21376393,24.26546827,0,11.49902367,9.473725908,0,11.49902367,0,35.36542929,9.589074368,38.61155998,0,24.26546827,0,0,0,93.06,25.1523745,9.589074368,0,50.11058365,0,0,12.13273414,12.13273414,0,0,19.6867807,9.826768707,0,20.5801845,16.84776639,0,-1.834837701,6.259791194,0,-1.013006425,0,0.2,17,2,6,0,0,0,1,0,1,4,2,7,6,0,0,0,1,0.6134,52.7036,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3
[Dy+3]<-OC(=O)COc1ccccc1OCC(O)=O,O=C(O)COc1ccccc1OCC(=O)O,Dy,66,6,3,f,1.22,0,9,0,0,0,0,0,0,0,-1.117557739,10.29009225,0,0.741708648,388.684,378.604,389.9752671,93,1,0.941176471,1.294117647,1.588235294,2.56E-06,355.137442,11.96625533,8.567262758,10.59624287,7.592224153,4.375517496,4.375517496,2.811562409,2.811562409,1.551454138,1.551454138,0.967631351,0.967631351,-0.967272727,3378.942378,16.03272727,8.171840832,6.362506451,127.5548724,19.6867807,0,24.7127876,0,0,50.11225244,0,9.589074368,0,0,12.13273414,12.13273414,0,0,67.44949693,11.93861058,0,0,0,0,13.21376393,24.26546827,0,11.49902367,9.473725908,0,11.49902367,0,35.36542929,9.589074368,38.17364186,0,24.26546827,0,0,0,93.06,25.1523745,9.589074368,0,49.67266553,0,0,12.13273414,12.13273414,0,0,19.6867807,9.826768707,0,20.5801845,16.84776639,0,-1.834837701,6.259791194,0,-1.013006425,0,0.2,17,2,6,0,0,0,1,0,1,4,2,7,6,0,0,0,1,0.6134,52.7036,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.26
[Er+3]<-OC(=O)COc1ccccc1OCC(O)=O,O=C(O)COc1ccccc1OCC(=O)O,Er,68,6,3,f,1.24,0,11,0,0,0,0,0,0,0,-1.117557739,10.29009225,0,0.735900173,393.444,383.364,391.9763854,95,1,0.941176471,1.294117647,1.588235294,2.56E-06,355.137442,11.96625533,8.539710127,10.39190709,7.592224153,4.375517496,4.375517496,2.811562409,2.811562409,1.551454138,1.551454138,0.967631351,0.967631351,-0.993246753,3378.942378,16.00675325,8.149778853,6.342658261,126.738517,19.6867807,0,24.7127876,0,0,49.24394846,0,9.589074368,0,0,12.13273414,12.13273414,0,0,66.58119294,11.93861058,0,0,0,0,13.21376393,24.26546827,0,11.49902367,9.473725908,0,11.49902367,0,35.36542929,9.589074368,37.30533788,0,24.26546827,0,0,0,93.06,25.1523745,9.589074368,0,48.80436155,0,0,12.13273414,12.13273414,0,0,19.6867807,9.826768707,0,20.5801845,16.84776639,0,-1.834837701,6.259791194,0,-1.013006425,0,0.2,17,2,6,0,0,0,1,0,1,4,2,7,6,0,0,0,1,0.6134,52.7036,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92
[Gd+3]<-OC(=O)COc1ccccc1OCC(O)=O,O=C(O)COc1ccccc1OCC(=O)O,Gd,64,6,3,f,1.2,0,7,0,0,0,0,0,0,0,-1.117557739,10.29009225,0,0.747933114,383.434,373.354,383.9701962,91,1,0.941176471,1.294117647,1.588235294,2.56E-06,355.137442,11.96625533,8.604588383,10.87305711,7.592224153,4.375517496,4.375517496,2.811562409,2.811562409,1.551454138,1.551454138,0.967631351,0.967631351,-0.915324675,3378.942378,16.08467532,8.215993662,6.40224423,129.2152544,19.6867807,0,24.7127876,0,0,51.87898986,0,9.589074368,0,0,12.13273414,12.13273414,0,0,69.21623435,11.93861058,0,0,0,0,13.21376393,24.26546827,0,11.49902367,9.473725908,0,11.49902367,0,35.36542929,9.589074368,39.94037929,0,24.26546827,0,0,0,93.06,25.1523745,9.589074368,0,51.43940295,0,0,12.13273414,12.13273414,0,0,19.6867807,9.826768707,0,20.5801845,16.84776639,0,-1.834837701,6.259791194,0,-1.013006425,0,0.2,17,2,6,0,0,0,1,0,1,4,2,7,6,0,0,0,1,0.6134,52.7036,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.48
[Ho+3]<-OC(=O)COc1ccccc1OCC(O)=O,O=C(O)COc1ccccc1OCC(=O)O,Ho,67,6,3,f,1.23,0,10,0,0,0,0,0,0,0,-1.117557739,10.29009225,0,0.691082307,391.114,381.034,390.9764144,94,0,0.941176471,1.294117647,1.588235294,2.56E-06,355.137442,11.96625533,8.552546337,10.48710297,7.592224153,4.375517496,4.375517496,2.811562409,2.811562409,1.551454138,1.551454138,0.967631351,0.967631351,-0.98025974,3378.942378,16.01974026,8.160808636,6.352580626,127.1455417,19.6867807,0,24.7127876,0,0,49.67684508,0,9.589074368,0,0,12.13273414,12.13273414,0,0,67.01408957,11.93861058,0,0,0,0,13.21376393,24.26546827,0,11.49902367,9.473725908,0,11.49902367,0,35.36542929,9.589074368,37.73823451,0,24.26546827,0,0,0,93.06,25.1523745,9.589074368,0,49.23725817,0,0,12.13273414,12.13273414,0,0,19.6867807,9.826768707,0,20.5801845,16.84776639,0,-1.834837701,6.259791194,0,-1.013006425,0,0.2,17,2,6,0,0,0,1,0,1,4,2,7,6,0,0,0,1,0.6134,52.7036,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.11
[Lu+3]<-OC(=O)COc1ccccc1OCC(O)=O,O=C(O)COc1ccccc1OCC(=O)O,Lu,71,6,3,d,1.27,0,14,0,0,0,0,0,0,0,-1.117557739,10.29009225,0,0.726211816,401.151,391.071,400.9868641,98,0,0.941176471,1.294117647,1.588235294,2.56E-06,355.137442,11.96625533,8.509233882,10.16588921,7.592224153,4.375517496,4.375517496,2.811562409,2.811562409,1.551454138,1.551454138,0.967631351,0.967631351,-1.006233766,3378.942378,15.99376623,8.138751488,6.332739361,126.3337982,19.6867807,0,24.7127876,0,0,48.81356252,0,9.589074368,0,0,12.13273414,12.13273414,0,0,66.15080701,11.93861058,0,0,0,0,13.21376393,24.26546827,0,11.49902367,9.473725908,0,11.49902367,0,35.36542929,9.589074368,36.87495194,0,24.26546827,0,0,0,93.06,25.1523745,9.589074368,0,48.37397561,0,0,12.13273414,12.13273414,0,0,19.6867807,9.826768707,0,20.5801845,16.84776639,0,-1.834837701,6.259791194,0,-1.013006425,0,0.2,17,2,6,0,0,0,1,0,1,4,2,7,6,0,0,0,1,0.6134,52.7036,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.04
[Nd+3]<-OC(=O)COc1ccccc1OCC(O)=O,O=C(O)COc1ccccc1OCC(=O)O,Nd,60,6,3,f,1.14,0,3,0,0,0,0,0,0,0,-1.117557739,10.29009225,0,0.762368567,370.424,360.344,367.9538156,87,1,0.941176471,1.294117647,1.588235294,2.56E-06,355.137442,11.96625533,8.751034992,11.95913424,7.592224153,4.375517496,4.375517496,2.811562409,2.811562409,1.551454138,1.551454138,0.967631351,0.967631351,-0.889350649,3378.942378,16.11064935,8.238084444,6.422133728,130.059281,19.6867807,0,24.7127876,0,0,52.77742386,0,9.589074368,0,0,12.13273414,12.13273414,0,0,70.11466835,11.93861058,0,0,0,0,13.21376393,24.26546827,0,11.49902367,9.473725908,0,11.49902367,0,35.36542929,9.589074368,40.83881329,0,24.26546827,0,0,0,93.06,25.1523745,9.589074368,0,52.33783695,0,0,12.13273414,12.13273414,0,0,19.6867807,9.826768707,0,20.5801845,16.84776639,0,-1.834837701,6.259791194,0,-1.013006425,0,0.2,17,2,6,0,0,0,1,0,1,4,2,7,6,0,0,0,1,0.6134,52.7036,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.45
