metal_symbol,metal_formal_charge_smiles,atomic_number,period,group_number,block,metal_series,pauling_electronegativity,metal_formal_charge_smiles,d_electron_count_proxy,f_electron_count_proxy,s_electron_count_proxy,p_electron_count_proxy,encoded_metal_donor_count,encoded_O_donor_count,encoded_N_donor_count,encoded_S_donor_count,encoded_P_donor_count,smiles,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,logK
Pr,3,59,6,3,f,Lanthanide,1.13,3,0,2,0,0,2,2,0,0,0,[H]c1c([H])c([H])c2c(c1[H])C(=O)[O-]->[Pr+3]<-O2C([H])([H])[H],11.22092593,-1.514074074,11.22092593,0.160925926,0.665013183,292.049,284.993,291.9460747,58,0,1.416666667,2.166666667,2.916666667,,2.545093537,7443.556878,8.552041764,6.611496217,10.31589014,5.7876937,3.569375516,6.594000489,2.555370607,6.197394567,1.753342831,4.489563553,1.147227983,3.289927707,0.173636364,768.3639299,8.757861026,3.501573821,1.465127037,92.51547178,0,0,0,0,0,93.41716264,0,0,0,0,0,0,0,0,44.75962822,5.969305288,0,0,0,0,7.109797541,29.82891977,0,5.749511833,1.645981156,0,5.749511833,0,13.07910283,0,38.31910988,10.35798868,24.26546827,0,0,0,31.07,38.31910988,4.794537184,0,5.969305288,5.563451492,5.749511833,0,6.066367068,25.30889875,0.638158358,1.007822799,7.966342593,-1.514074074,11.22092593,0,0.659722222,0.786990741,7.476712963,0,0,1.90337963,0.125,12,0,3,0,1,1,1,0,1,3,0,4,0,0,0,0,2,0.0587,37.3245,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63
La,3,57,6,3,f,Lanthanide,1.1,3,0,0,0,0,2,2,0,0,0,[H]c1c([H])c([H])c2c(c1[H])C(=O)[O-]->[La+3]<-O2C([H])([H])[H],11.22092593,-1.514074074,11.22092593,0.160925926,0.664488643,290.047,282.991,289.9447752,58,0,1.416666667,2.166666667,2.916666667,,2.545093537,7443.556878,8.552041764,6.611496217,10.23731935,5.7876937,3.569375516,6.529847709,2.555370607,6.120146656,1.753342831,4.431527873,1.147227983,3.244480703,0.004805195,768.3639299,8.596311278,3.397995342,1.407864665,88.87313439,0,0,0,0,0,89.43316226,0,0,0,0,0,0,0,0,40.77562783,5.969305288,0,0,0,0,7.109797541,29.82891977,0,5.749511833,3.039408923,0,5.749511833,0,13.07910283,0,32.94168172,10.35798868,24.26546827,0,0,0,31.07,32.94168172,4.794537184,0,5.969305288,5.563451492,5.749511833,0,6.066367068,25.30889875,1.334872241,1.704536682,7.966342593,-1.514074074,11.22092593,0,0.659722222,0.786990741,7.476712963,0,0,1.90337963,0.125,12,0,3,0,1,1,1,0,1,3,0,4,0,0,0,0,2,0.0587,37.3245,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45
Cu,2,29,4,11,d,Transition metal,1.9,2,9,0,0,0,2,2,0,0,0,[H]c1c([H])c([H])c2c(c1[H])C(=O)[O-]->[Cu+2]<-O2C([H])([H])[H],11.14540509,-0.295185185,11.14540509,0.295185185,0.562150928,214.687,207.631,213.968568,67,1,1.416666667,2.166666667,2.916666667,,2.545093537,7443.556878,8.552041764,6.335657293,7.277309069,5.7876937,3.344153977,4.113009433,2.284175914,3.209973333,1.549596632,2.245140129,0.987676921,1.532348206,-0.670519481,768.3639299,7.952018859,2.99379678,1.189277381,76.79915188,0,0,0,0,0,76.33708329,0,0,0,0,0,0,0,0,27.67954886,5.969305288,0,0,0,0,7.109797541,29.82891977,0,5.749511833,7.268714673,0,5.749511833,0,13.07910283,15.616297,0,10.35798868,24.26546827,0,0,0,31.07,0,4.794537184,0,5.969305288,5.563451492,21.36580884,0,13.17616461,18.19910121,3.449525116,3.819189557,7.362175926,1.057997685,11.14540509,0,0.584201389,0.518472222,7.270960648,0,0,1.76912037,0.125,12,0,3,0,1,1,1,0,1,3,0,4,0,0,0,0,2,0.0562,37.3245,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05
Eu,3,63,6,3,f,Lanthanide,1.2,3,0,6,0,0,2,2,0,0,0,[H]c1c([H])c([H])c2c(c1[H])C(=O)[O-]->[Eu+3]<-O2C([H])([H])[H],11.20703704,-1.041049383,11.20703704,0.185617284,0.666646153,303.105,296.049,303.9596522,62,0,1.416666667,2.166666667,2.916666667,,2.545093537,7443.556878,8.552041764,6.412110421,8.837205501,5.7876937,3.406577695,5.386659536,2.35934182,4.743606175,1.606068119,3.397345059,1.031899026,2.434625265,0.394415584,768.3639299,8.969384163,3.638481909,1.541554122,97.65504825,0,0,0,0,0,99.05583073,0,0,0,0,0,0,0,0,50.3982963,5.969305288,0,0,0,0,7.109797541,29.82891977,0,5.749511833,-0.381720551,0,5.749511833,0,13.07910283,0,45.98547967,10.35798868,24.26546827,0,0,0,31.07,45.98547967,4.794537184,0,5.969305288,5.563451492,5.749511833,0,6.066367068,25.30889875,-0.375692496,-0.006028055,7.855231481,-1.041049383,11.20703704,0,0.645833333,0.737608025,7.438873457,0,0,1.878688272,0.125,12,0,3,0,1,1,1,0,1,3,0,4,0,0,0,0,2,0.0587,37.3245,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.72
Dy,3,66,6,3,f,Lanthanide,1.22,3,0,9,0,0,2,2,0,0,0,[H]c1c([H])c([H])c2c(c1[H])C(=O)[O-]->[Dy+3]<-O2C([H])([H])[H],11.19662037,-0.686280864,11.19662037,0.204135802,0.666227608,313.641,306.585,314.9675967,65,1,1.416666667,2.166666667,2.916666667,,2.545093537,7443.556878,8.552041764,6.350373714,8.379353828,5.7876937,3.356169885,5.012825211,2.298644559,4.293463237,1.560466798,3.05915661,0.99618921,2.169794182,0.082727273,768.3639299,8.670850314,3.445679046,1.434165374,90.52320567,0,0,0,0,0,91.23662239,0,0,0,0,0,0,0,0,42.57908796,5.969305288,0,0,0,0,7.109797541,29.82891977,0,5.749511833,2.413165242,0,5.749511833,0,13.07910283,0,35.37138554,10.35798868,24.26546827,0,0,0,31.07,35.37138554,4.794537184,0,5.969305288,5.563451492,5.749511833,0,6.066367068,25.30889875,1.021750401,1.391414842,7.771898148,-0.686280864,11.19662037,0,0.635416667,0.700570988,7.410493827,0,0,1.860169753,0.125,12,0,3,0,1,1,1,0,1,3,0,4,0,0,0,0,2,0.0587,37.3245,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.56
Cd,2,48,5,12,d,Transition metal,1.69,2,10,0,0,0,2,2,0,0,0,[H]c1c([H])c([H])c2c(c1[H])C(=O)[O-]->[Cd+2]<-O2C([H])([H])[H],11.22134259,-1.528264815,11.22134259,0.160185185,0.608993368,263.553,256.497,264.942329,58,0,1.416666667,2.166666667,2.916666667,,2.545093537,7443.556878,8.552041764,6.741252729,10.77756244,5.7876937,3.675321265,6.970954342,2.682942441,6.651293803,1.849186433,4.830574075,1.222281892,3.55696872,-0.267922078,768.3639299,8.335736881,3.232776721,1.317556511,83.51648644,0,0,0,0,0,83.59759389,0,0,0,0,0,0,0,0,34.94005946,5.969305288,0,0,0,0,7.109797541,29.82891977,0,5.749511833,5.00458321,0,5.749511833,0,13.07910283,25.14093907,0,10.35798868,24.26546827,0,0,0,31.07,25.14093907,4.794537184,0,5.969305288,5.563451492,5.749511833,0,6.066367068,25.30889875,2.317459385,2.687123826,7.969675926,-1.528264815,11.22134259,0,0.660138889,0.788472222,7.477848148,0,0,1.90412037,0.125,12,0,3,0,1,1,1,0,1,3,0,4,0,0,0,0,2,0.0562,37.3245,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75
Nd,3,60,6,3,f,Lanthanide,1.14,3,0,3,0,0,2,2,0,0,0,[H]c1c([H])c([H])c2c(c1[H])C(=O)[O-]->[Nd+3]<-O2C([H])([H])[H],11.2174537,-1.395817901,11.2174537,0.167098765,0.665730663,295.381,288.325,292.9461452,59,1,1.416666667,2.166666667,2.916666667,,2.545093537,7443.556878,8.552041764,6.534145948,9.742245192,5.7876937,3.506219286,6.125621349,2.479322665,5.633407936,1.696208678,4.065845333,1.102486953,2.958119347,0.160649351,768.3639299,8.745427763,3.493571574,1.460685703,92.22643269,0,0,0,0,0,93.10061229,0,0,0,0,0,0,0,0,44.44307786,5.969305288,0,0,0,0,7.109797541,29.82891977,0,5.749511833,1.757993607,0,5.749511833,0,13.07910283,0,37.89054707,10.35798868,24.26546827,0,0,0,31.07,37.89054707,4.794537184,0,5.969305288,5.563451492,5.749511833,0,6.066367068,25.30889875,0.694164583,1.063829024,7.938564815,-1.395817901,11.2174537,0,0.65625,0.774645062,7.467253086,0,0,1.89720679,0.125,12,0,3,0,1,1,1,0,1,3,0,4,0,0,0,0,2,0.0587,37.3245,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75
Sm,3,62,6,3,f,Lanthanide,1.17,3,0,5,0,0,2,2,0,0,0,[H]c1c([H])c([H])c2c(c1[H])C(=O)[O-]->[Sm+3]<-O2C([H])([H])[H],11.21050926,-1.159305556,11.21050926,0.179444444,0.666541819,301.501,294.445,302.9581543,61,1,1.416666667,2.166666667,2.916666667,,2.545093537,7443.556878,8.552041764,6.442394239,9.061796302,5.7876937,3.431304329,5.570037158,2.389115756,4.964415596,1.628437017,3.563237244,1.049415826,2.56453333,0.147662338,768.3639299,8.732995548,3.485575071,1.45625044,91.93887015,0,0,0,0,0,92.78574353,0,0,0,0,0,0,0,0,44.1282091,5.969305288,0,0,0,0,7.109797541,29.82891977,0,5.749511833,1.869200652,0,5.749511833,0,13.07910283,0,37.46447126,10.35798868,24.26546827,0,0,0,31.07,37.46447126,4.794537184,0,5.969305288,5.563451492,5.749511833,0,6.066367068,25.30889875,0.749768106,1.119432547,7.883009259,-1.159305556,11.21050926,0,0.649305556,0.749953704,7.448333333,0,0,1.884861111,0.125,12,0,3,0,1,1,1,0,1,3,0,4,0,0,0,0,2,0.0587,37.3245,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77
Ho,3,67,6,3,f,Lanthanide,1.23,3,0,10,0,0,2,2,0,0,0,[H]c1c([H])c([H])c2c(c1[H])C(=O)[O-]->[Ho+3]<-O2C([H])([H])[H],11.19314815,-0.568024691,11.19314815,0.210308642,0.622888998,316.071,309.015,315.968744,66,0,1.416666667,2.166666667,2.916666667,,2.545093537,7443.556878,8.552041764,6.335657293,8.270213926,5.7876937,3.344153977,4.923712854,2.284175914,4.186160896,1.549596632,2.9785413,0.987676921,2.106665357,0.06974026,768.3639299,8.658424456,3.437717206,1.429766643,90.24450242,0,0,0,0,0,90.93184246,0,0,0,0,0,0,0,0,42.27430803,5.969305288,0,0,0,0,7.109797541,29.82891977,0,5.749511833,2.519546192,0,5.749511833,0,13.07910283,0,34.96022465,10.35798868,24.26546827,0,0,0,31.07,34.96022465,4.794537184,0,5.969305288,5.563451492,5.749511833,0,6.066367068,25.30889875,1.074940875,1.444605316,7.74412037,-0.568024691,11.19314815,0,0.631944444,0.688225309,7.401033951,0,0,1.853996914,0.125,12,0,3,0,1,1,1,0,1,3,0,4,0,0,0,0,2,0.0587,37.3245,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.52
Zn,2,30,4,12,d,Transition metal,1.65,2,10,0,0,0,2,2,0,0,0,[H]c1c([H])c([H])c2c(c1[H])C(=O)[O-]->[Zn+2]<-O2C([H])([H])[H],11.21571759,-1.336689815,11.21571759,0.170185185,0.564310245,216.531,209.475,214.9681127,58,0,1.416666667,2.166666667,2.916666667,,2.545093537,7443.556878,8.552041764,6.741252729,9.708380562,5.7876937,3.675321265,6.097970995,2.682942441,5.600113477,1.849186433,4.040831498,1.222281892,2.938531329,-0.566623377,768.3639299,8.050930932,3.054894434,1.221800842,78.3968151,0,0,0,0,0,78.05632949,0,0,0,0,0,0,0,0,29.39879506,5.969305288,0,0,0,0,7.109797541,29.82891977,0,5.749511833,6.756282123,0,5.749511833,0,13.07910283,17.84797576,0,10.35798868,24.26546827,0,0,0,31.07,17.84797576,4.794537184,0,5.969305288,5.563451492,5.749511833,0,6.066367068,25.30889875,3.193308841,3.562973282,7.924675926,-1.336689815,11.21571759,0,0.654513889,0.768472222,7.462523148,0,0,1.89412037,0.125,12,0,3,0,1,1,1,0,1,3,0,4,0,0,0,0,2,0.0562,37.3245,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35
